"Accept","Accept"
"Action","Action"
"Action Product","Action Product"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure?","Are you sure?"
"Conditions","Conditions"
"Create New Rule","Create New Rule"
"Your session has expired, please resubmit data","Your session has expired, please resubmit data"
"Customer Groups","Customer Groups"
"%d auction(s) have been successfully deleted","%d auction(s) have been successfully deleted"
"Decline","Decline"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Discount Amount Applied to Product, %","Discount Amount Applied to Product, %"
"Display option ""Do not show this pop up again""","Display option ""Do not show this pop up again"""
"Do not show message box again","Do not show message box again"
"Edit","Edit"
"Enable Extension","Enable Extension"
"Edit Rule '%s'","Edit Rule '%s'"
"Edit Rule #'%s'","Edit Rule #'%s'"
"Enabled","Enabled"
"End Date and Time","End Date and Time"
"Free Shipping","Free Shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Incorrect rule id","Incorrect rule id"
"Invalid rule ids","Invalid rule ids"
"Manage Rules","Manage Rules"
"Name in Store","Name in Store"
"Name","Name"
"No action product specified","No action product specified"
"No","No"
"NOT LOGGED IN","NOT LOGGED IN"
"Price","Price"
"Priority","Priority"
"Qty","Qty"
"Rule Information","Rule Information"
"Rule Info","Rule Info"
"Rule Name","Rule Name"
"Rules","Rules"
"Rule successfully deleted","Rule successfully deleted"
"Rule successfully saved","Rule successfully saved"
"Rules with greater priority are processed first","Rules with greater priority are processed first"
"Save and Continue Edit","Save and Continue Edit"
"Show Pop Up on adding Item(s) to Cart","Show Pop Up on adding Item(s) to Cart"
"SKU","SKU"
"Start Date and Time","Start Date and Time"
"Status","Status"
"Store View","Store View"
"The following item will be added to your cart","The following item will be added to your cart"
"To Date","To Date"
"Websites","Websites"
"Yes","Yes"
